EVENT_VALUE,TAG_ID,EVENT_TIME
0.0,1503637,2020-03-16
3.5839999999999996,1503638,2020-03-16
5.131,1503639,2020-03-16
2.519,1503640,2020-03-16
3.795,1503641,2020-03-16
0.0,1503642,2020-03-16
0.0,1503643,2020-03-16
0.0,1503644,2020-03-16
9.0,1503645,2020-03-16
0.0,1503646,2020-03-16
0.0,1503647,2020-03-16
0.0,1503648,2020-03-16
0.0,1503649,2020-03-16
5.962999999999999,1503650,2020-03-16
14.197000000000001,1503651,2020-03-16
0.0,1503652,2020-03-16
0.0,1503653,2020-03-16
0.0,1503654,2020-03-16
0.0,1503655,2020-03-16
0.0,1503656,2020-03-16
0.0,1503657,2020-03-16
0.01,1503658,2020-03-16
0.6579999999999999,1503659,2020-03-16
0.34299999999999997,1503660,2020-03-16
1.761,1503661,2020-03-16
2.324,1503662,2020-03-16
4.082,1503663,2020-03-16
6.256,1503664,2020-03-16
9.312999999999999,1503665,2020-03-16
1.692,1503666,2020-03-16
3.918,1503667,2020-03-16
1.389,1503668,2020-03-16
3.478,1503669,2020-03-16
0.0,1503670,2020-03-16
0.0,1503671,2020-03-16
5.269,1503672,2020-03-16
6.8,1503673,2020-03-16
0.0,1503674,2020-03-16
0.0,1503675,2020-03-16
0.0,1503676,2020-03-16
0.0,1503677,2020-03-16
0.0,1503678,2020-03-16
0.0,1503679,2020-03-16
2.9819999999999998,1503680,2020-03-16
3.0610000000000004,1503681,2020-03-16
4.7,1503682,2020-03-16
8.686,1503683,2020-03-16
2.6,1503684,2020-03-16
5.271,1503685,2020-03-16
2.6510000000000002,1503686,2020-03-16
3.248,1503687,2020-03-16
4.226,1503688,2020-03-16
4.268,1503689,2020-03-16
0.0,1503690,2020-03-16
0.20199999999999999,1503691,2020-03-16
0.0,1503692,2020-03-16
2.286,1503693,2020-03-16
2.923,1503694,2020-03-16
3.556,1503695,2020-03-16
6.197,1503696,2020-03-16
0.0,1503697,2020-03-16
0.0,1503698,2020-03-16
3.659,1503699,2020-03-16
7.795,1503700,2020-03-16
3.096,1503701,2020-03-16
5.229,1503702,2020-03-16
0.0,1503703,2020-03-16
6.9670000000000005,1503704,2020-03-16
7.121,1503705,2020-03-16
0.0,1503706,2020-03-16
4.382,1503707,2020-03-16
6.007000000000001,1503708,2020-03-16
2.861,1503709,2020-03-16
2.6430000000000002,1503710,2020-03-16
0.0,1503711,2020-03-16
0.0,1503712,2020-03-16
0.132,1503713,2020-03-16
0.0,1503714,2020-03-16
0.0,1503715,2020-03-16
0.008,1503716,2020-03-16
0.28300000000000003,1503717,2020-03-16
4.007,1503718,2020-03-16
6.2620000000000005,1503719,2020-03-16
0.0,1503720,2020-03-16
2.068,1503721,2020-03-16
2.638,1503722,2020-03-16
1.311,1503723,2020-03-16
3.09,1503724,2020-03-16
1.899,1503725,2020-03-16
3.1260000000000003,1503726,2020-03-16
0.17,1503727,2020-03-16
1.426,1503728,2020-03-16
3.3,1503729,2020-03-16
3.373,1503730,2020-03-16
1.703,1503731,2020-03-16
3.023,1503732,2020-03-16
0.0,1503733,2020-03-16
0.0,1503734,2020-03-16
0.0,1503735,2020-03-16
0.0,1503736,2020-03-16
0.0,1503737,2020-03-16
0.0,1503738,2020-03-16
0.0,1503739,2020-03-16
12.8,1503740,2020-03-16
13.064,1503741,2020-03-16
3.275,1503742,2020-03-16
9.094,1503743,2020-03-16
6.6,1503744,2020-03-16
5.829,1503745,2020-03-16
4.6,1503746,2020-03-16
6.676,1503747,2020-03-16
0.0,1503748,2020-03-16
0.0,1503749,2020-03-16
0.0,1503750,2020-03-16
0.0,1503751,2020-03-16
0.6,1503752,2020-03-16
0.499,1503753,2020-03-16
0.0,1503754,2020-03-16
1.5759999999999998,1503755,2020-03-16
1.649,1503756,2020-03-16
5.6,1503757,2020-03-16
5.843,1503758,2020-03-16
0.0,1503759,2020-03-16
1.3630000000000002,1503760,2020-03-16
0.8690000000000001,1503761,2020-03-16
0.0,1503762,2020-03-16
0.0,1503763,2020-03-16
1.3,1503764,2020-03-16
1.4880000000000002,1503765,2020-03-16
0.0,1503766,2020-03-16
0.0,1503767,2020-03-16
1.9,1503768,2020-03-16
2.728,1503769,2020-03-16
2.2,1503770,2020-03-16
2.082,1503771,2020-03-16
0.0,1503772,2020-03-16
0.0,1503773,2020-03-16
0.0,1503774,2020-03-16
0.0,1503775,2020-03-16
0.541,1503776,2020-03-16
0.0,1503777,2020-03-16
0.0,1503778,2020-03-16
0.0,1503779,2020-03-16
0.0,1503780,2020-03-16
0.0,1503781,2020-03-16
0.0,1503782,2020-03-16
0.0,1503783,2020-03-16
0.0,1503784,2020-03-16
0.0,1503785,2020-03-16
0.0,1503786,2020-03-16
0.0,1503787,2020-03-16
0.0,1503788,2020-03-16
1.9,1503789,2020-03-16
0.0,1503790,2020-03-16
0.0,1503791,2020-03-16
2.9810000000000003,1503792,2020-03-16
2.978,1503793,2020-03-16
0.0,1503794,2020-03-16
0.0,1503795,2020-03-16
0.0,1503796,2020-03-16
0.0,1503797,2020-03-16
0.004,1503798,2020-03-16
0.037000000000000005,1503799,2020-03-16
