EVENT_TIME,FG_flow,Q_SL
2019-12-30 17:30:00,315.94818,308.87926349152616
2019-12-30 18:00:00,306.45878,302.09177794799797
2019-12-30 18:30:00,298.2566588888889,293.99054671110065
2019-12-30 19:00:00,297.9276916666667,292.2232794259494
2019-12-30 19:30:00,305.5007508333333,299.8824001189098
2019-12-30 20:00:00,318.30600583333336,309.1118227950366
2019-12-30 20:30:00,322.2717211111111,309.9120744542153
2019-12-30 21:00:00,323.5136019444445,310.31413094706176
2019-12-30 21:30:00,327.9520541666667,314.7149962960579
2019-12-30 22:00:00,326.2296441666667,312.98842846205486
2019-12-30 22:30:00,326.948985,315.9585674103132
2019-12-30 23:00:00,332.12269,319.38983564403594
2019-12-30 23:30:00,334.45811,322.48344237672103
2019-12-31 00:00:00,335.8220675,323.01283119051726
2019-12-31 00:30:00,337.45402722222224,322.1178107708237
2019-12-31 01:00:00,338.24221916666664,322.0200771581624
2019-12-31 01:30:00,339.39096,326.0337691483888
2019-12-31 02:00:00,339.4725359126984,326.3125513841913
2019-12-31 02:30:00,337.7437727777778,326.78638911941346
2019-12-31 03:00:00,337.9637566666666,326.7634419598617
2019-12-31 03:30:00,336.62910416666665,326.747414145343
2019-12-31 04:00:00,337.54464333333334,326.62712017515133
2019-12-31 04:30:00,340.04886055555556,328.34139918993594
2019-12-31 05:00:00,343.98667499999993,331.1921093111557
2019-12-31 05:30:00,342.1569266666667,329.98522381187973
2019-12-31 06:00:00,341.15534166666674,329.1419831433313
2019-12-31 06:30:00,332.63429333333335,322.66630859879774
2019-12-31 07:00:00,326.52971,317.7971555769033
2019-12-31 07:30:00,322.99659249999996,316.4746201144298
2019-12-31 08:00:00,321.74542222222226,314.7165729898214
2019-12-31 08:30:00,320.99333666666666,314.0287301589283
2019-12-31 09:00:00,314.29653666666667,305.70164101047106
2019-12-31 09:30:00,309.6612883333334,300.2359346355359
2019-12-31 10:00:00,308.40521958333335,299.59671561906947
2019-12-31 10:30:00,310.4062177777778,300.4143924175807
2019-12-31 11:00:00,319.4488694444445,303.74995054965143
2019-12-31 11:30:00,321.331565,304.2904100542386
2019-12-31 12:00:00,323.0874966666667,302.15929975727835
2019-12-31 12:30:00,323.88965,301.9676830410837
2019-12-31 13:00:00,329.7772201190477,310.50076424471536
2019-12-31 13:30:00,322.93721666666664,310.7536797847072
2019-12-31 14:00:00,327.46352333333334,316.9408222230022
2019-12-31 14:30:00,322.27639000000005,314.0508340028867
2019-12-31 15:00:00,318.42276166666664,310.76218188451276
2019-12-31 15:30:00,315.2829975,307.51052428692856
2019-12-31 16:00:00,315.51014000000004,306.73681481661595
2019-12-31 16:30:00,314.17508000000004,307.2589357610157
2019-12-31 17:00:00,310.80304916666665,301.68928337268545
2019-12-31 17:30:00,314.61727583333334,303.4485482857405
2019-12-31 18:00:00,311.38525250000004,303.20410259252634
2019-12-31 18:30:00,308.4468616666666,298.53101305011126
2019-12-31 19:00:00,310.14574999999996,302.79730018351415
2019-12-31 19:30:00,313.12065083333334,305.3947078426913
2019-12-31 20:00:00,325.27368083333334,313.9078210508865
2019-12-31 20:30:00,330.35168777777784,317.67835870615335
2019-12-31 21:00:00,334.64646444444446,320.8048247158519
2019-12-31 21:30:00,333.25887666666665,318.30363832976957
2019-12-31 22:00:00,331.9018986111111,317.10428416978317
2019-12-31 22:30:00,334.45842722222227,315.4121689304149
2019-12-31 23:00:00,340.5947086111111,318.5898770068441
2019-12-31 23:30:00,344.56587083333335,322.0389351771312
2020-01-01 00:00:00,348.4056227777778,326.16630487462004
2020-01-01 00:30:00,352.1514808333333,327.9976453756977
2020-01-01 01:00:00,359.95415499999996,332.5786582070837
2020-01-01 01:30:00,364.26758611111114,332.29954230434026
2020-01-01 02:00:00,361.57099,330.7568412314334
2020-01-01 02:30:00,362.28242777777785,332.92807363205986
2020-01-01 03:00:00,358.21286888888886,329.8379845797249
2020-01-01 03:30:00,355.18486611111103,328.44899765140707
2020-01-01 04:00:00,356.63170999999994,331.30892534137286
2020-01-01 04:30:00,359.10173611111105,333.0581731568432
2020-01-01 05:00:00,360.78022500000003,337.28839865057523
2020-01-01 05:30:00,365.2348069444444,337.8075563255756
2020-01-01 06:00:00,367.0663133333333,340.5670790218382
2020-01-01 06:30:00,367.19730361111107,337.5264838561398
2020-01-01 07:00:00,363.24077416666665,333.45435778778955
2020-01-01 07:30:00,361.0675933333334,331.72341762037377
